cast,director,genre,opening_date,opening_year,title
"Aryan Vaid, Kapil Sharma, Rituparna Sengupta, Helen, Zeenat Aman",Sanjay Sharma,romance,2010-11-12,2010,Dunno Y... Na Jaane Kyon
"Sanjay Suri, Jimmy Shergill",Raaj Verma,thriller,2010-11-12,2010,A Flat
"Sahil Khan, Tanushree Dutta, Dalip Singh Rana",Haadi Abrar,"action, adventure",2010-11-12,2010,Ramaa: The Saviour
"Hrithik Roshan, Aishwarya Rai Bachchan, Suhel Seth, Aditya Roy Kapur, Shernaz Patel, Priyanka Bose, Ash Chandler, Swara Bhaskar",Sanjay Leela Bhansali,"romance,drama",2010-11-19,2010,Guzaarish
"Preetika Chawla, Afzaal Khan, Shahrukh Khan, Kay Kay Menon",Makrand Deshpande,thriller,2010-11-19,2010,"Shahrukh Bola ""Khoobsurat Hai Tu"""
"Aditya Raj Kapoor, Deep, Ashhmita",Jiten Purohit,"romance,thriller",2010-11-19,2010,Diwangi Ne Had Kar Di
"Sharman Joshi, Naseeruddin Shah, Faruk Kabir",Faruk Kabir,thriller,2010-11-26,2010,Allah Ke Banday
"Imran Khan, Deepika Padukone, Navin Nischol, Lillete Dubey",Danish Aslam,romance,2010-11-26,2010,Break Ke Baad
"Sunny Deol, Tabu, Farida Jalal, Govind Namdeo",K C Bokadia,action,2010-11-26,2010,Khuda Kasam
"Abhishek Bachchan, Deepika Padukone, Sikander Kher",Ashutosh Gowariker,period,2010-12-03,2010,Khelein Hum Jee Jaan Sey
"Rajat Kapoor, Neha Dhupia",Subhash Kapoor,"comedy,crime",2010-12-03,2010,Phas Gaye Re Obama
"Suriya, Vivek Oberoi, Sudeep, Shatrughan Sinha",Ram Gopal Verma,biographical,2010-12-03,2010,Rakta Charitra 2
"Ranveer Singh, Anushka Sharma, Neeraj Sood",Maneesh Sharma,"romance,drama",2010-12-10,2010,Band Baaja Baaraat
"Paresh Rawal, Anil Kapoor, Sushmita Sen, Neetu Chandra, Kangana Ranaut, Akshaye Khanna, Sunil Shetty, Sanjay Dutt",Anees Bazmee,comedy,2010-12-10,2010,No Problem
"Ali Asgar, Chetan Pandit",Mahesh Pandey,thriller,2010-12-17,2010,332 Mumbai to India
"Munish Khan, Sara Khan, Gulshan Grover",Sachin P. Karande,thriller,2010-12-17,2010,Payback
"Swini Khara, Aditya Srivastava, Gufi Paintal",Wilson Louis,horror,2010-12-17,2010,Kaalo
"Konkona Sen Sharma, Raima Sen, Shahana Goswami, Ila Arun, Shreyas Talpade",Vinay Shukla,drama,2010-12-17,2010,Mirch
"Akshay Kumar,[13] Katrina Kaif, Akshaye Khanna, Arya Babbar, Mia Uyeda, Murli Sharma",Farah Khan[13],action comedy,2010-12-24,2010,Tees Maar Khan
"Akshay Oberoi, Sandeepa Dhar, Mohnish Behl",Vidhi Kasliwal,drama,2010-12-24,2010,Isi Life Mein...!
"Ajay Devgn, Kajol",Kireet Khurana,animated,2010-12-24,2010,Toonpur Ka Superrhero
"Neil Nitin Mukesh, Soha Ali Khan, Kay Kay Menon, Shahana Goswami",Sudhir Mishra,thriller,2010-12-31,2010,Tera Kya Hoga Johnny
"Ayaan Ahmad, Nauheed Cyrusi, Ayesha Jhulka, Rahul Roy, Milind Gunaji",Tanvir Ahmad,drama,2010-12-31,2010,Ada... A Way of Life
"Vivek Oberoi, Mallika Sherawat[69]",Sanjay Khanduri,comedy,2012-10-05,2012,Kismat Love Paisa Dilli
"Rani Mukerji, Prithviraj Sukumaran[70]",Sachin Kundalkar,rom-com,2012-10-12,2012,Aiyyaa
"Himansu Bhatt, Radhika Roy, Akkash Basant, Rashmi Gautam, Nandini Rai[71]",Sanjeev Reddy,"drama,thriller",2012-10-12,2012,Login
"Manoj Bajpai, Vega Tamotia, Nawazuddin Siddiqui, Barry John[72]",Bedabrata Pain,drama,2012-10-12,2012,Chittagong
"Manisha Koirala, J. D. Chakravarthy[73]",Ram Gopal Verma,horror,2012-10-12,2012,Bhoot Returns
"Sidharth Malhotra, Alia Bhatt, Varun Dhawan, Rishi Kapoor[74]",Karan Johar,"romance,comedy",2012-10-19,2012,Student of the Year
"Voice-over by Akshaye Khanna, Suniel Shetty, Urmila Matondkar, Boman Irani, Govinda, Swini Khara[75]",Nikhil Advani,computer animated,2012-10-19,2012,Delhi Safari
"Arjun Rampal, Abhay Deol, Esha Gupta, Manoj Bajpai, Kabir Bedi[76]",Prakash Jha,political thriller,2012-10-24,2012,Chakravyuh
"Jackky Bhagnani, Nidhi Subbaiah, Arjun Rampal, Darshan Jariwala, Kirron Kher[77]",Sanjay Gadhvi,comedy,2012-10-26,2012,Ajab Gazabb Love
"Emraan Hashmi, Neha Dhupia, Sagarika Ghatge, Aditya Pancholi[78]","Shamin Desai, Priyanka Desai","thriller,crime",2012-10-26,2012,Rush
"Kunal Kapoor, Huma Qureshi[79]",Sameer Sharma,comedy,2012-11-02,2012,Luv Shuv Tey Chicken Khurana
"Aftab Shivdasani, Tia Bajpai, Vidya Malvade[80]",Bhushan Patel,horror,2012-11-02,2012,1920: The Evil Returns
"Rajpal Yadav, Ashutosh Rana, Asrani[81]",Rajpal Yadav,musical comedy,2012-11-02,2012,Ata Pata Laapata
"Voice over by Sunidhi Chauhan, Aditya Kapadia, Devansh Doshi, Saptharishi Ghosh[82]",Kushal Ruia,"animation,drama,children",2012-11-02,2012,Sons of Ram
"Aamir Bashir, Sonal Sehgal, Satish Kaushik[83]",Sanjay Amar,drama,2012-11-02,2012,Future To Bright Hai Ji
"Shah Rukh Khan, Katrina Kaif, Anushka Sharma[84]",Yash Chopra,"romance,drama",2012-11-13,2012,Jab Tak Hai Jaan
"Ajay Devgn, Sanjay Dutt, Juhi Chawla, Sonakshi Sinha[85]",Ashwni Dhir,comedy,2012-11-13,2012,Son Of Sardaar
"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Rajkumar Rao[86]",Reema Kagti,"drama,suspense",2012-11-30,2012,Talaash: The Answer Lies Within
"Akshay Kumar, Asin, Mithun Chakraborty, Raj Babbar, Himesh Reshammiya, Paresh Rawal[87]",Ashish R Mohan,"action,comedy",2012-12-07,2012,Khiladi 786
Saurabh Shukla[88],12 directors,anthology,2012-12-12,2012,The Last Act
"Bhoop Yaduvanshi, Prashant Narayanan, Madhurima Tuli, Sudesh Berry[89]",Akashaditya Lama,"drama,thriller",2012-12-14,2012,Cigarette Ki Tarah
"Salman Khan, Sonakshi Sinha, Arbaaz Khan, Prakash Raj, Vinod Khanna[90]",Arbaaz Khan,"action,comedy",2012-12-21,2012,Dabangg 2
"Ranbir Kapoor, Konkona Sen Sharma, Rahul Khanna, Namit Das, Anupam Kher",Ayan Mukerji,romantic comedy,2009-10-02,2009,Wake Up Sid
"Dia Mirza, Fardeen Khan, Irrfan Khan, Manoj Bajpai, Dino Morea, Aftab Shivdasani, Danny Denzongpa, Gulshan Grover",Suparn Verma,action,2009-10-09,2009,Acid Factory
"Sanjay Dutt, Ajay Devgn, Fardeen Khan, Bipasha Basu, Mugdha Godse, Johnny Lever",Rohit Shetty,comedy,2009-10-16,2009,All the Best: Fun Begins
"Akshay Kumar, Sanjay Dutt, Lara Dutta, Zayed Khan, Katrina Kaif, Rahul Dev",Anthony D'souza,action,2009-10-16,2009,Blue
"Salman Khan, Kareena Kapoor, Sohail Khan, Deepika Padukone, Dino Morea, Preity Zinta, Nauheed Cyrusi, Yash Tonk, Bappi Lahiri",Prem Soni,"drama, romance",2009-10-16,2009,Main Aurr Mrs Khanna
,Pankaj Sharma,animation,2009-10-23,2009,Bal Ganesh 2
"Boman Irani, Cyrus Broacha, Mahesh Manjrekar, Dia Mirza",Kunal Vijaykar,comedy,2009-10-23,2009,Fruit and Nut
"Nauheed Cyrusi, Sameer Dattani",Rajan Wagdhare,romantic comedy,2009-10-23,2009,Love Ka Tadka[12]
"Salman Khan, Ajay Devgn, Asin Thottumkal, Rannvijay Singh, Aditya Roy Kapur, Om Puri",Vipul Shah,"musical, social, drama, romance",2009-10-30,2009,London Dreams
"Amitabh Bachchan, Sanjay Dutt, Jacqueline Fernandez, Riteish Deshmukh, Sahil Khan, Ratna Pathak Shah",Sujoy Ghosh,fantasy,2009-10-30,2009,Aladin
"Ranbir Kapoor, Katrina Kaif, Pradeep Kharab, Zakir Hussain, Upen Patel, Darshan Jariwala",Rajkumar Santoshi,"comedy, romance",2009-11-06,2009,Ajab Prem Ki Ghazab Kahani
"Neil Nitin Mukesh, Mugdha Godse, Manoj Bajpayee, Kaveri Jha, Sayali Bhagat, Rahul Singh, Atul Kulkarni, Navni Parihar",Madhur Bhandarkar,social,2009-11-06,2009,Jail
"Emraan Hashmi, Soha Ali Khan, Sachin Khedekar",Kunal Deshmukh,romance,2009-11-13,2009,Tum Mile
"Aftab Shivdasani, Aamna Shariff, Shah Rukh Khan, Johnny Lever, Ritesh Deshmukh",Glenn Baretto,fantasy,2009-11-13,2009,Aao Wish Karein
"Saif Ali Khan, Kareena Kapoor, Rupinder Nagra, Vivek Oberoi, Dia Mirza, Om Puri, Kirron Kher, Nauheed Cyrusi",Rensil D'Silva,"thriller, romance",2009-11-20,2009,Kurbaan
"Hitesh Agrawal, Mansi Dovhal, Sudesh Berry, Nasir Khan",Shankar Mondal,"comedy, thriller, social",2009-11-20,2009,Shaabash! You Can Do It[13]
"Jimmy Sheirgill, Kim Sharma, Hrishita Bhatt, Rahul Handa",Devang Dholkia,action,2009-11-20,2009,Marega Salaa
"Akshay Kumar, Manoj Joshi, Katrina Kaif, Tinnu Anand, Johnny Lever, Sunil Shetty, Paresh Rawal, Neha Dhupia, Sameera Reddy, Aditi Govitrikar, Rajpal Yadav, Supriya Karnik, Shakti Kapoor, Vikram Gokhale, Asrani, Chunky Pandey, Archana Puran Singh",Priyadarshan,comedy,2009-11-27,2009,De Dana Dan
"Himesh Reshammiya, Shenaz Treasurywala, Sonal Sehgal",Ishaan Trivedi,musical,2009-12-03,2009,Radio
"Amitabh Bachchan, Abhishek Bachchan, Vidya Balan, Paresh Rawal",R. Balki,"drama, family",2009-12-04,2009,Paa
"Ranbir Kapoor, Gauahar Khan, Shazahn Padamsee, Prem Chopra",Shimit Amin,comedy,2009-12-11,2009,Rocket Singh: Salesman of the Year
"Rajat Kapoor, Vinay Pathak, Neha Dhupia, Navneet Nishan, Dalip Tahil, Anuradha Menon, Aamir Bashir, Iravati Harshe",Saurabh Shukla,drama,2009-12-18,2009,"Raat Gayi, Baat Gayi?"
"Aamir Khan, Kareena Kapoor, Sharman Joshi, R. Madhavan, Boman Irani, Omi Vaidya, Mona Singh, Ali Fazal",Rajkumar Hirani,comedy,2009-12-25,2009,3 Idiots
"Celina Jaitly, Farooq Sheikh",Mahesh Nair,thriller,2009-12-31,2009,Accident on Hill Road
"Abhishek Bachchan, Priyanka Chopra, Kay Kay Menon, Jaya Bachchan",Goldie Behl,"superhero, action, adventure, fantasy",2008-10-02,2008,Drona
"Sharat Saxena, Arbaaz Khan, Katrina Kaif, Sohail Khan, Sharman Joshi, Amrita Arora, Gul Panag, Isha Koppikar, Salman Khan",Atul Agnihotri,"drama, romance",2008-10-10,2008,Hello
"Himesh Reshammiya, Benjamin Schoefer, Urmila Matondkar, Dino Morea, Gulshan Grover",Satish Kaushik,"action, romance, drama",2008-10-17,2008,Karzzzz
"Salman Khan, Preity Zinta, Mithun Chakraborty, Bobby Deol, Sunny Deol, Sohail Khan, Vatsal Sheth, Amrita Arora, Dino Morea, Riya Sen",Samir Karnik,drama,2008-10-24,2008,Heroes
"Saif Ali Khan, Kareena Kapoor, Javed Jaffrey, Suresh Menon, Kiku Sharda",Jugal Hansraj,"animation, family, romance",2008-10-24,2008,Roadside Romeo
"Ajay Devgn, Kareena Kapoor, Arshad Warsi, Amrita Arora, Shreyas Talpade, Celina Jaitly, Tusshar Kapoor, Anjana Sukhani",Rohit Shetty,comedy,2008-10-29,2008,Golmaal Returns
"Priyanka Chopra, Kangana Ranaut, Arbaaz Khan, Mugdha Godse, Arjan Bajwa, Ashwin Mushran, Samir Soni",Madhur Bhandarkar,"drama, romance",2008-10-29,2008,Fashion
"Sanjay Dutt, Arjun Rampal, Urmila Matondkar, Malaika Arora, Ashish Chaudhary, Neha Oberoi, Manoj Joshi",Saurabh Kabra,"comedy, social",2008-11-07,2008,EMI - Liya Hai Toh Chukana Parega
"Isha Koppikar, Sonu Sood, Vishal Malhotra, Alok Nath",Kaushik Ghatak,drama,2008-11-07,2008,Ek Vivaah... Aisa Bhi
"Vinay Pathak, Neha Dhupia, Rajat Kapoor, Ranvir Shorey",Shashant Shah,"comedy, drama, musical, romance",2008-11-07,2008,Dasvidaniya
"Abhishek Bachchan, John Abraham, Priyanka Chopra, Bobby Deol, Kirron Kher",Tarun Mansukhani,comedy,2008-11-14,2008,Dostana
"Kamaal Rashid Khan, Krishna Abhishek, Hrishitaa Bhatt, Gracy Singh, Zulfi Syed",Jagdish A. Sharma,politics,2008-11-14,2008,Deshdrohi
"Anil Kapoor, Salman Khan, Zayed Khan, Katrina Kaif, Boman Irani, Mithun Chakraborty",Subhash Ghai,"musical, drama, romance, family",2008-11-21,2008,Yuvvraaj
"Mahima Chaudhry, Dino Morea, Suman Ranganathan, Irrfan Khan",Neeraj Pathak,"thriller, mystery",2008-11-28,2008,Gumnaam – The Mystery
"Abhay Deol, Neetu Chandra, Paresh Rawal, Manu Rishi, Richa Chadda, Archana Puran Singh",Dibakar Banerjee,"comedy, drama",2008-11-28,2008,Oye Lucky! Lucky Oye!
"Shabana Azmi, Boman Irani, Sanjay Suri, Sharman Joshi, Chitrangada Singh",Onir,romance,2008-11-28,2008,Sorry Bhai!
"Paresh Rawal, Naseeruddin Shah, Neha Dhupia, Om Puri, Boman Irani, Tara Sharma",Shivam Nair,thriller,2008-12-05,2008,Maharathi
"Irrfan Khan, Rahul Bose, Rahul Khanna, Konkona Sen Sharma, Soha Ali Khan, Payal Rohatgi",Anil Sharma (Senior),"comedy, romance",2008-12-05,2008,
"Mahesh Manjrekar, Mandira Bedi, Eijaz Khan, Anupam Kher",Chandrakant Kulkarni,drama,2008-12-05,2008,Meerabai Not Out
"Vinay Pathak, Saurabh Shukla, Divya Dutta, Gaurav Gera, Harsh Chhaya",Saurabh Shrivastava,comedy,2008-12-05,2008,"Oh, My God[2]"
"Shah Rukh Khan, Anushka Sharma, Vinay Pathak, Manmeet Singh, Richa Pallod, M. K. Raina",Aditya Chopra,"comedy, drama, romance",2008-12-12,2008,Rab Ne Bana Di Jodi
"Rajesh Khanna, Laila Khan, Shahib Chopra, Diya Hayat, Tinnu Anand, Sudesh Berry",Rakesh Sawant,"romance, drama, romance",2008-12-19,2008,Wafaa
"Aamir Khan, Asin, Khalid Siddiqui, Jiah Khan, Riyaz Khan, Sunil Grover, Tinnu Anand, Pradeep Rawat",A. R. Murugadoss,"action, drama, mystery, romance, thriller",2008-12-25,2008,Ghajini
"Akshay Kumar, Lara Dutta, Amar Babaria, Dimple Kapadia, Rajpal Yadav, Gulshan Grover",Kompin Kemgumnird,animation,2008-12-25,2008,Jumbo
"Milind Soman, Dipannita Sharma, Gulshan Grover, Aditi Govitrikar, Sushant Singh",Mani Shankar,action,nan,2002,16 December
"Sunny Deol, Bobby Deol, Divya Dutta, Amrita Singh",Guddu Dhanoa,historical drama,nan,2002,23rd March 1931: Shaheed
"Amitabh Bachchan, Akshay Kumar, Paresh Rawal, Arjun Rampal, Sushmita Sen, Aditya Pancholi",Vipul Shah,"thriller, action",nan,2002,Aankhen
"Hrithik Roshan, Amisha Patel, Ali Asgar, Alok Nath",Vikram Bhatt,"romance, drama",nan,2002,Aap Mujhe Achche Lagne Lage
"Amrita Rao, Arya Babbar, Ashish Vidyarthi",Raj Kanwar,"romance, drama",nan,2002,Ab Ke Baras
"Amitabh Bachchan, Akkineni Nagarjuna, Jackie Shroff, Raveena Tandon, Milind Soman, Prabhu Deva, Sonali Kulkarni",Arjun Sajnani,historical,nan,2002,Agni Varsha
"Govinda, Raveena Tandon, Shakti Kapoor, Kader Khan, Anjana Mumtaz, Johnny Lever",Harmesh Malhotra,comedy,nan,2002,Akhiyon Se Goli Maare
"Sunil Shetty, Sanjay Dutt, Ashutosh Rana, Preeti Jhangiani, Johny Lever, Tinu Anand, Gautam Rode, Shweta Menon",Ravi Dewan,"action, thriller",nan,2002,Annarth
"Om Puri, Ashutosh Rana, Abbas, Sharbani Mukherji",Rajan Johri,"action, thriller",nan,2002,Ansh: The Deadly Part
"Akshay Kumar, Sunil Shetty, Paresh Rawal, Aftab Shivdasani, Amrita Arora, Rahul Dev, Preeti Jhangiani, Om Puri",Vikram Bhatt,"action, comedy",nan,2002,Awara Paagal Deewana
,Apurba Kishore Bir,children's,nan,2002,Baaja
"Anil Kapoor, Shilpa Shetty, Amrish Puri, Kirti Reddy, Suresh Menon, Anang Desai",Satish Kaushik,"comedy, drama",nan,2002,Badhaai Ho Badhaai
"Preeya Kalidas, James McAvoy",Jeremy Wooding,drama,nan,2002,Bollywood Queen
,,,nan,2002,Bomb the System
"Govinda, Rani Mukerji, Sanjay Suri, Sunil Shetty, Kader Khan",Aziz Sejawal,comedy,nan,2002,Chalo Ishq Ladaaye
"Bobby Deol, Shilpa Shetty, Bipasha Basu",Aziz Sejawal,"comedy, romance, crime",nan,2002,Chor Machaaye Shor
"Mohanlal, Ajay Devgn, Manisha Koirala, Vivek Oberoi, Antara Mali",Ram Gopal Varma,"crime, drama",nan,2002,Company
"Ajay Devgn, Akshaye Khanna, Urmila Matondkar, Tiku Talsania",Anees Bazmee,thriller,nan,2002,Deewangee
"Shrivallabh Vyas, Jaya Seal",Milind Ukey,,nan,2002,Desh Devi[2]
"Shah Rukh Khan, Aishwarya Rai, Madhuri Dixit, Jackie Shroff",Sanjay Leela Bhansali,"romance, drama, musical, period",nan,2002,Devdas
"Rekha, Preity Zinta, Mahima Chaudhry, Arjun Rampal, Jimmy Sheirgill, Alok Nath",Kundan Shah,"family, romance, drama",nan,2002,Dil Hai Tumhaara
"Jimmy Sheirgill, Sanjay Suri, Namrata Shirodkar, R. Madhavan, Sonali Kulkarni, Hrishita Bhatt",Anant Mahadevan,"romance, drama",nan,2002,Dil Vil Pyar Vyar
Manisha Koirala,Shashilal K. Nair,erotic,nan,2002,Ek Chhotisi Love Story
"Naseeruddin Shah, Dilip Prabhavalkar, Tara Deshpande",Ajay Phansekar,social drama,nan,2002,Encounter: The Killing
"Tabu, Sushmita Sen, Sanjay Suri",Meghna Gulzar,drama,nan,2002,Filhaal
"Pankaj Berry, Rahul Bhatt, Seema Biswas, Gayatri",Kumar Jay,crime drama,nan,2002,Ghaav: The Wound
"Dino Morea, Bipasha Basu, Irrfan Khan",Amol Shetge,"thriller, romance",nan,2002,Gunaah
"Akshay Kumar, Karisma Kapoor, Abhishek Bachchan, Mohnish Bahl",Dharmesh Darshan,"drama, romance",nan,2002,Haan Maine Bhi Pyaar Kiya
"Sanjay Dutt, Shilpa Shetty, Namrata Shirodkar",Mahesh Manjrekar,drama,nan,2002,Hathyar
"Amitabh Bachchan, Ajay Devgn, Sanjay Dutt, Aishwarya Rai",David Dhawan,"action, comedy",nan,2002,Hum Kisise Kum Nahin
"Jugal Hansraj, Tina Rana",Mohan Singh Rathod,romance,nan,2002,Hum Pyar Tumhi Se Kar Baithe
"Salman Khan, Shah Rukh Khan, Madhuri Dixit, Atul Agnihotri, Aishwarya Rai",K. S. Adhiyaman,"drama, romance",nan,2002,Hum Tumhare Hain Sanam
"Bobby Deol, Akshaye Khanna, Amisha Patel",Abbas–Mustan,"thriller, romance, musical",nan,2002,Humraaz
